Rendering img with focal point Complex { re: -0.15791999999999157, im: -1.038959999999998 } [x_range: (-1, 1), y_range: (-1.01, 0.99)]
[Complex { re: -0.72, im: -0.99 }] iterations: 5 | acc: 116.33965368845236 | ?: false
[Complex { re: -0.7, im: -0.99 }] iterations: 5 | acc: 121.94920555515557 | ?: false
[Complex { re: -0.6799999999999999, im: -0.99 }] iterations: 5 | acc: 111.50573352535532 | ?: false
[Complex { re: -0.6599999999999999, im: -0.99 }] iterations: 6 | acc: 32789.48153392579 | ?: false
[Complex { re: -0.64, im: -0.99 }] iterations: 6 | acc: 13147.520956838654 | ?: false
[Complex { re: -0.62, im: -0.99 }] iterations: 6 | acc: 1032.2181514250594 | ?: false
[Complex { re: -0.6, im: -0.99 }] iterations: 6 | acc: 7025.754461568206 | ?: false
[Complex { re: -0.5800000000000001, im: -0.99 }] iterations: 6 | acc: 6982.67126010921 | ?: false
[Complex { re: -0.56, im: -0.99 }] iterations: 6 | acc: 4263.483237682952 | ?: false
[Complex { re: -0.54, im: -0.99 }] iterations: 6 | acc: 1434.0970795719722 | ?: false
[Complex { re: -0.52, im: -0.99 }] iterations: 6 | acc: 356.2711979089179 | ?: false
[Complex { re: -0.5, im: -0.99 }] iterations: 6 | acc: 955.0006599750973 | ?: false
[Complex { re: -0.48, im: -0.99 }] iterations: 6 | acc: 833.5790164548467 | ?: false
[Complex { re: -0.45999999999999996, im: -0.99 }] iterations: 6 | acc: 468.7035792742854 | ?: false
[Complex { re: -0.43999999999999995, im: -0.99 }] iterations: 6 | acc: 152.77854967178374 | ?: false
[Complex { re: -0.42000000000000004, im: -0.99 }] iterations: 7 | acc: 192324.78716816482 | ?: false
[Complex { re: -0.4, im: -0.99 }] iterations: 7 | acc: 12494.00686362005 | ?: false
[Complex { re: -0.38, im: -0.99 }] iterations: 7 | acc: 19032.08275141408 | ?: false
[Complex { re: -0.36, im: -0.99 }] iterations: 7 | acc: 6805.020189692557 | ?: false
[Complex { re: -0.33999999999999997, im: -0.99 }] iterations: 7 | acc: 207.55535285668984 | ?: false
[Complex { re: -0.31999999999999995, im: -0.99 }] iterations: 7 | acc: 545.7044251755017 | ?: false
[Complex { re: -0.30000000000000004, im: -0.99 }] iterations: 7 | acc: 205.8695278897308 | ?: false
[Complex { re: -0.28, im: -0.99 }] iterations: 8 | acc: 8115.69188749463 | ?: false
[Complex { re: -0.26, im: -0.99 }] iterations: 8 | acc: 2010.9957666214245 | ?: false
[Complex { re: -0.24, im: -0.99 }] iterations: 8 | acc: 106.71485633022868 | ?: false
[Complex { re: -0.21999999999999997, im: -0.99 }] iterations: 9 | acc: 3221.287778048164 | ?: false
[Complex { re: -0.19999999999999996, im: -0.99 }] iterations: 9 | acc: 57.81147667788511 | ?: false
[Complex { re: -0.18000000000000005, im: -0.99 }] iterations: 10 | acc: 50.756903393079824 | ?: false
[Complex { re: -0.16000000000000003, im: -0.99 }] iterations: 12 | acc: 2693.510519272933 | ?: false
[Complex { re: -0.14, im: -0.99 }] iterations: 18 | acc: 47.79481036212281 | ?: false
[Complex { re: -0.12, im: -0.99 }] iterations: 17 | acc: 72.23310616490414 | ?: false
[Complex { re: -0.09999999999999998, im: -0.99 }] iterations: 12 | acc: 85.97675279006216 | ?: false
[Complex { re: -0.07999999999999996, im: -0.99 }] iterations: 12 | acc: 65.47060815562743 | ?: false
[Complex { re: -0.06000000000000005, im: -0.99 }] iterations: 20 | acc: 0.7614021257915593 | ?: true
[Complex { re: -0.040000000000000036, im: -0.99 }] iterations: 20 | acc: 0.8165894657862494 | ?: true
[Complex { re: -0.020000000000000018, im: -0.99 }] iterations: 13 | acc: 335.98839128340927 | ?: false
[Complex { re: 0.0, im: -0.99 }] iterations: 10 | acc: 8000.728638046587 | ?: false
[Complex { re: 0.020000000000000018, im: -0.99 }] iterations: 8 | acc: 382.26737289317646 | ?: false
[Complex { re: 0.040000000000000036, im: -0.99 }] iterations: 8 | acc: 50280.85254301911 | ?: false
[Complex { re: 0.06000000000000005, im: -0.99 }] iterations: 7 | acc: 918.6087006811632 | ?: false
[Complex { re: 0.08000000000000007, im: -0.99 }] iterations: 7 | acc: 4322.146683033365 | ?: false
[Complex { re: 0.10000000000000009, im: -0.99 }] iterations: 7 | acc: 21106.60895853259 | ?: false
[Complex { re: 0.1200000000000001, im: -0.99 }] iterations: 7 | acc: 207500.3600948906 | ?: false
[Complex { re: 0.1399999999999999, im: -0.99 }] iterations: 6 | acc: 332.1917343718944 | ?: false
[Complex { re: 0.15999999999999992, im: -0.99 }] iterations: 6 | acc: 959.585044679693 | ?: false
[Complex { re: 0.17999999999999994, im: -0.99 }] iterations: 6 | acc: 1590.9324649251018 | ?: false
[Complex { re: 0.19999999999999996, im: -0.99 }] iterations: 6 | acc: 901.630305709517 | ?: false
[Complex { re: 0.21999999999999997, im: -0.99 }] iterations: 6 | acc: 3654.17019180104 | ?: false
[Complex { re: 0.24, im: -0.99 }] iterations: 6 | acc: 13976.189498066311 | ?: false
[Complex { re: 0.26, im: -0.99 }] iterations: 6 | acc: 26548.27167407625 | ?: false
[Complex { re: 0.28, im: -0.99 }] iterations: 6 | acc: 24298.174087785006 | ?: false
[Complex { re: 0.30000000000000004, im: -0.99 }] iterations: 5 | acc: 126.22934672570713 | ?: false
[Complex { re: 0.32000000000000006, im: -0.99 }] iterations: 5 | acc: 207.95083065685677 | ?: false
[Complex { re: 0.3400000000000001, im: -0.99 }] iterations: 5 | acc: 294.797326065304 | ?: false
[Complex { re: 0.3600000000000001, im: -0.99 }] iterations: 5 | acc: 365.5954314094745 | ?: false
[Complex { re: 0.3799999999999999, im: -0.99 }] iterations: 5 | acc: 382.90814088931506 | ?: false
[Complex { re: 0.3999999999999999, im: -0.99 }] iterations: 5 | acc: 293.11589393292036 | ?: false
[Complex { re: 0.41999999999999993, im: -0.99 }] iterations: 6 | acc: 4640363.384406936 | ?: false
[Complex { re: 0.43999999999999995, im: -0.99 }] iterations: 5 | acc: 505.3759517801239 | ?: false
[Complex { re: 0.45999999999999996, im: -0.99 }] iterations: 5 | acc: 1323.6333099856633 | ?: false
[Complex { re: 0.48, im: -0.99 }] iterations: 5 | acc: 2473.4661994220523 | ?: false
[Complex { re: 0.5, im: -0.99 }] iterations: 5 | acc: 3911.551564471106 | ?: false
[Complex { re: 0.52, im: -0.99 }] iterations: 5 | acc: 5477.783345448571 | ?: false
[Complex { re: 0.54, im: -0.99 }] iterations: 5 | acc: 6838.594940691271 | ?: false
[Complex { re: 0.56, im: -0.99 }] iterations: 5 | acc: 7425.368926889651 | ?: false
[Complex { re: 0.5800000000000001, im: -0.99 }] iterations: 5 | acc: 6377.165485898899 | ?: false
[Complex { re: 0.6000000000000001, im: -0.99 }] iterations: 5 | acc: 2502.7810955456953 | ?: false
[Complex { re: 0.6200000000000001, im: -0.99 }] iterations: 5 | acc: 5819.274368928766 | ?: false
[Complex { re: 0.6399999999999999, im: -0.99 }] iterations: 5 | acc: 20147.544006796077 | ?: false
[Complex { re: 0.6599999999999999, im: -0.99 }] iterations: 5 | acc: 42417.08904921835 | ?: false
[Complex { re: 0.6799999999999999, im: -0.99 }] iterations: 5 | acc: 74180.93153966675 | ?: false
[Complex { re: 0.7, im: -0.99 }] iterations: 5 | acc: 116154.60647604782 | ?: false
[Complex { re: 0.72, im: -0.99 }] iterations: 5 | acc: 167403.7947791622 | ?: false
[Complex { re: 0.74, im: -0.99 }] iterations: 5 | acc: 224191.08747720928 | ?: false
[Complex { re: 0.76, im: -0.99 }] iterations: 5 | acc: 278395.8166999593 | ?: false
[Complex { re: 0.78, im: -0.99 }] iterations: 4 | acc: 163.4470339664469 | ?: false
[Complex { re: 0.8, im: -0.99 }] iterations: 4 | acc: 239.70157878723762 | ?: false
[Complex { re: 0.8200000000000001, im: -0.99 }] iterations: 4 | acc: 333.06653464230567 | ?: false
[Complex { re: 0.8400000000000001, im: -0.99 }] iterations: 4 | acc: 445.5770386668486 | ?: false
[Complex { re: 0.8600000000000001, im: -0.99 }] iterations: 4 | acc: 579.2481381857218 | ?: false
[Complex { re: 0.8799999999999999, im: -0.99 }] iterations: 4 | acc: 736.0133473035513 | ?: false
